time,lat,long,NO2,name,wind_speed,road_dens,pp_dens,earth_no2
2019-01-01,21.0491,105.8831,21.80833333,NVC,4.664360523223877,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-02,21.0491,105.8831,21.80833333,NVC,3.612390947341919,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-03,21.0491,105.8831,41.3104,NVC,2.912235450744629,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-04,21.0491,105.8831,39.37920417,NVC,2.7742588996887205,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-05,21.0491,105.8831,39.90187917,NVC,3.130343151092529,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-06,21.0491,105.8831,30.00824583,NVC,1.4589202880859375,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-07,21.0491,105.8831,38.8811625,NVC,3.415606594085693,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-08,21.0491,105.8831,23.5602625,NVC,4.343322372436523,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-09,21.0491,105.8831,17.66202917,NVC,3.655538511276245,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-10,21.0491,105.8831,22.33865417,NVC,2.4441545963287354,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-11,21.0491,105.8831,38.9171875,NVC,2.781976747512817,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-12,21.0491,105.8831,42.94177917,NVC,2.011671757698059,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-13,21.0491,105.8831,40.98890833,NVC,1.8810170650482176,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-14,21.0491,105.8831,48.20266667,NVC,2.438786029815674,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-15,21.0491,105.8831,47.01025417,NVC,5.006245994567872,2988.391064453125,37.33873100280762,5.945558047130367e-05
2019-01-16,21.0491,105.8831,21.04400417,NVC,3.8169291973114015,2988.391064453125,37.33873100280762,5.945558047130367e-05
