NO2,wind_speed,road_dens,pp_dens,earth_no2
21.808333,4.664361,2988.391064,37.338731,0.000059
21.808333,3.612391,2988.391064,37.338731,0.000059
41.310400,2.912235,2988.391064,37.338731,0.000059
39.379204,2.774259,2988.391064,37.338731,0.000059
39.901879,3.130343,2988.391064,37.338731,0.000059
30.008246,1.458920,2988.391064,37.338731,0.000059
38.881163,3.415607,2988.391064,37.338731,0.000059
23.560263,4.343322,2988.391064,37.338731,0.000059
17.662029,3.655539,2988.391064,37.338731,0.000059
22.338654,2.444155,2988.391064,37.338731,0.000059
38.917187,2.781977,2988.391064,37.338731,0.000059
42.941779,2.011672,2988.391064,37.338731,0.000059
40.988908,1.881017,2988.391064,37.338731,0.000059
48.202667,2.438786,2988.391064,37.338731,0.000059
47.010254,5.006246,2988.391064,37.338731,0.000059
21.044004,3.816929,2988.391064,37.338731,0.000059
32.213317,3.210644,2988.391064,37.338731,0.000059
56.019042,1.806842,2988.391064,37.338731,0.000059
70.908950,1.616327,2988.391064,37.338731,0.000059
61.718629,5.521268,2988.391064,37.338731,0.000059
30.250383,4.386067,2988.391064,37.338731,0.000059
57.458883,2.352615,2988.391064,37.338731,0.000059
95.192095,2.300079,2988.391064,37.338731,0.000059
46.047059,3.006657,2988.391064,37.338731,0.000059
28.091667,2.605875,2988.391064,37.338731,0.000059
27.770833,2.661475,2988.391064,37.338731,0.000059
37.225000,2.771024,2988.391064,37.338731,0.000059
35.958333,2.942150,2988.391064,37.338731,0.000125
31.727967,2.730948,2988.391064,37.338731,0.000059
40.854089,4.792094,2988.391064,37.338731,0.000059
42.698059,4.731149,2988.391064,37.338731,0.000059
59.916450,2.999375,2988.391064,37.338731,0.000059
54.378388,3.998594,2988.391064,37.338731,0.000137
43.292313,3.941195,2988.391064,37.338731,0.000059
23.406200,3.092780,2988.391064,37.338731,0.000059
21.152158,2.259916,2988.391064,37.338731,0.000059
14.192488,5.286521,2988.391064,37.338731,0.000114
25.528971,3.483151,2988.391064,37.338731,0.000122
33.070192,3.821527,2988.391064,37.338731,0.000046
30.988729,4.442264,2988.391064,37.338731,0.000032
22.649646,4.615272,2988.391064,37.338731,0.000059
25.222017,2.812939,2988.391064,37.338731,0.000059
27.453212,2.572066,2988.391064,37.338731,0.000059
28.624779,3.385757,2988.391064,37.338731,0.000059
31.817375,3.117180,2988.391064,37.338731,0.000059
27.859008,2.711412,2988.391064,37.338731,0.000059
24.762492,3.496182,2988.391064,37.338731,0.000059
20.919121,3.717209,2988.391064,37.338731,0.000059
44.491058,3.926958,2988.391064,37.338731,0.000092
37.250525,4.282142,2988.391064,37.338731,0.000059
24.716262,4.420543,2988.391064,37.338731,0.000059
29.819613,4.537655,2988.391064,37.338731,0.000059
29.312533,2.159360,2988.391064,37.338731,0.000059
20.543125,4.959525,2988.391064,37.338731,0.000059
28.288146,1.794052,2988.391064,37.338731,0.000059
30.467083,2.131578,2988.391064,37.338731,0.000059
33.719029,4.449856,2988.391064,37.338731,0.000059
52.120871,4.297741,2988.391064,37.338731,0.000059
43.519871,5.205621,2988.391064,37.338731,0.000059
28.050150,5.144287,2988.391064,37.338731,0.000059
30.484754,4.026350,2988.391064,37.338731,0.000059
36.640371,4.516220,2988.391064,37.338731,0.000059
38.814012,6.103885,2988.391064,37.338731,0.000059
16.723040,4.908503,2988.391064,37.338731,0.000059
29.260111,4.353837,2988.391064,37.338731,0.000059
20.610809,3.845983,2988.391064,37.338731,0.000059
73.487800,3.931726,2988.391064,37.338731,0.000093
74.358225,4.912142,2988.391064,37.338731,0.000059
52.011008,4.037277,2988.391064,37.338731,0.000059
34.541746,2.451853,2988.391064,37.338731,0.000059
33.616592,3.378098,2988.391064,37.338731,0.000059
22.158333,3.792500,2988.391064,37.338731,0.000059
21.343629,4.453140,2988.391064,37.338731,0.000059
29.799112,6.024679,2988.391064,37.338731,0.000059
37.392042,5.979145,2988.391064,37.338731,0.000059
33.560246,4.374277,2988.391064,37.338731,0.000091
38.230358,3.952631,2988.391064,37.338731,0.000074
31.566533,5.795600,2988.391064,37.338731,0.000059
33.691104,2.768802,2988.391064,37.338731,0.000059
30.860771,3.285271,2988.391064,37.338731,0.000061
35.799405,4.908183,2988.391064,37.338731,0.000059
39.466392,6.252858,2988.391064,37.338731,0.000059
40.345275,4.628801,2988.391064,37.338731,0.000059
26.337773,5.740431,2988.391064,37.338731,0.000059
26.521279,5.082444,2988.391064,37.338731,0.000059
21.802967,4.808045,2988.391064,37.338731,0.000059
20.735492,4.170438,2988.391064,37.338731,0.000059
17.427125,4.415863,2988.391064,37.338731,0.000059
12.825175,5.111761,2988.391064,37.338731,0.000059
12.767842,4.320830,2988.391064,37.338731,0.000059
23.469912,3.102528,2988.391064,37.338731,0.000059
22.482654,1.590362,2988.391064,37.338731,0.000059
37.920550,5.558461,2988.391064,37.338731,0.000059
28.078792,5.539909,2988.391064,37.338731,0.000059
45.045292,3.999346,2988.391064,37.338731,0.000071
45.514229,4.074175,2988.391064,37.338731,0.000066
29.384296,4.172996,2988.391064,37.338731,0.000059
53.097821,5.579148,2988.391064,37.338731,0.000072
36.547612,5.822249,2988.391064,37.338731,0.000059
49.243192,6.802395,2988.391064,37.338731,0.000114
37.111063,4.551655,2988.391064,37.338731,0.000059
32.654275,5.969792,2988.391064,37.338731,0.000059
34.014646,7.408660,2988.391064,37.338731,0.000059
32.484546,5.897942,2988.391064,37.338731,0.000059
37.116258,4.928585,2988.391064,37.338731,0.000059
46.055667,3.952773,2988.391064,37.338731,0.000059
38.041433,3.566614,2988.391064,37.338731,0.000059
52.071729,3.973423,2988.391064,37.338731,0.000059
50.096463,4.087277,2988.391064,37.338731,0.000059
31.669846,5.059564,2988.391064,37.338731,0.000059
38.766688,5.175412,2988.391064,37.338731,0.000059
47.733475,3.703752,2988.391064,37.338731,0.000059
44.431792,4.005874,2988.391064,37.338731,0.000059
29.702687,4.510790,2988.391064,37.338731,0.000059
30.191987,2.861838,2988.391064,37.338731,0.000059
33.857908,3.506467,2988.391064,37.338731,0.000059
43.892200,4.550333,2988.391064,37.338731,0.000059
